Date,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,NFLX,NVDA,SPY,TSLA
2019-04-01,111448000,84776000,91751100,27706000,17499300,10381500,22789100,7036100,483824000,77617900,121656000
2019-04-02,91062800,68962000,66694000,18288000,10295400,23946500,18142300,5158700,440920000,40070400,82183500
2019-04-03,93087200,78522000,63110600,22180000,11499200,27391100,22860700,5368900,783504000,68243200,118791000
2019-04-04,76457200,72478000,53712100,21022000,11952100,17847700,20112800,4627300,457376000,48997500,355810500
2019-04-05,74106400,72810000,46383400,20012000,9933700,9594100,15826200,3905500,481744000,58621700,195574500
2019-04-08,103526800,75056000,35272800,21750000,8056300,7297400,15116200,4653800,424192000,53566300,156156000
2019-04-09,143072800,74288000,40535300,19668000,9092200,19751000,17612000,5439200,439972000,66142300,88560000
2019-04-10,86781200,59280000,42669700,15510000,10882300,11701500,16477200,4545600,444772000,52601500,105919500
2019-04-11,83603200,53096000,50440100,16998000,11183800,8071000,14209100,6526900,374600000,55093100,147538500
2019-04-12,111042800,62288000,100192000,24312000,25834100,12329800,19745100,15646200,471708000,69727800,101190000
2019-04-15,70146400,74488000,57438800,23796000,15163800,10834800,15792600,8842300,440092000,49596700,150579000
2019-04-16,102785600,60892000,105168400,22622000,11583200,11215200,14071800,18740200,394964000,52153200,109093500
2019-04-17,115627200,57870000,94831600,30366000,17791900,9973700,19300900,18054100,351004000,58268300,76897500
2019-04-18,96783200,54998000,61796600,24750000,12501900,11655600,27991000,8353200,380988000,68708500,88144500
2019-04-22,77758000,67476000,34763400,19084000,7975900,13389900,15648700,11980500,279936000,40160100,182206500
2019-04-23,93292000,92808000,41889700,31868000,9193100,19954800,24025500,10089800,346856000,52246600,164158500
2019-04-24,70162400,73516000,40078100,23396000,9245700,37289900,31257000,6541900,318204000,50392900,160912500
2019-04-25,74172800,121982000,43243800,31344000,9311800,54148800,38033900,6255500,499296000,57770900,327741000
2019-04-26,74596400,168652000,40627500,27228000,7889300,22075000,23654900,5621900,868988000,50916400,335410500
2019-04-29,88818800,80426000,68408600,72368000,14242200,19641300,16324200,3821700,391920000,57197700,250717500
2019-04-30,186139600,70120000,47764200,133178000,11389100,23494700,24166500,3870100,362920000,81111700,141969000
2019-05-01,259309200,62340000,56161000,74340000,10412900,15996600,26821700,9257300,354280000,71671900,160566000
2019-05-02,127985200,79258000,40634100,45098000,8613300,13209500,27350200,5398200,394684000,65030200,272389500
2019-05-03,83569600,127632000,35256100,41588000,8185400,14575400,24911100,5130300,336824000,56543700,355602000
2019-05-06,129772400,108356000,39882000,31774000,9387000,13994900,24239800,5793100,422176000,107198100,162508500
2019-05-07,155054800,118042000,58528400,36604000,15017700,16253000,36017700,6974900,555220000,144729900,151971000
2019-05-08,105358000,81572000,39903400,25520000,9575800,12505700,28419000,6572000,419168000,91568300,92646000
2019-05-09,139634400,106166000,44173500,29556000,12205900,12967000,27235800,5882600,660248000,103471100,100671000
2019-05-10,164834800,114360000,59649900,31650000,13189000,12578500,30915100,5657100,569500000,112429300,105124500
2019-05-13,229722400,115668000,72547000,45626000,13783700,16833300,33944900,8026700,656912000,127290500,162522000
2019-05-14,146118800,92582000,52216100,40392000,10503600,17628100,25266300,5353000,524880000,77003200,108786000
2019-05-15,106178800,93852000,51973200,59302000,10142000,16746900,24722700,6340100,502320000,73956400,109440000
2019-05-16,132125600,94156000,42791500,35308000,9672700,12953100,30112200,6441500,781088000,76749600,112249500
2019-05-17,131516400,94732000,43772500,25362000,9570100,10485400,25770500,4725400,1022068000,100353000,266800500
2019-05-20,154449200,75964000,41717600,30602000,8518200,10352000,23706900,4621500,572064000,62877600,307893000
2019-05-21,113459200,80102000,39258700,20562000,7967900,7502800,15293300,4026400,361848000,46847100,270058500
2019-05-22,118994400,58732000,29177600,18826000,7918900,9213800,15396500,6229400,325868000,49482500,280278000
2019-05-23,146118800,88486000,59772900,25214000,14558000,12768800,23603800,5630400,591844000,98733800,398206500
2019-05-24,94858800,67394000,35524400,18554000,8537300,8807700,14123400,3831000,357584000,55268100,212049000
2019-05-28,111792800,64000000,44273400,20948000,11665500,14843300,23128400,4717100,428356000,70029400,154693500
2019-05-29,113924800,85580000,49818900,36230000,9966400,12797700,22763100,5658900,559800000,104972900,179529000
2019-05-30,84873600,62938000,58649300,18088000,10367800,8581500,16829600,4008000,394300000,62523800,118897500
